x,experiment,tree_ID,spec,drought_timing,block,rep,treatment,drought_start_doy,dendrometer,dendro_start_doy,dendro_end_doy,species_lat,species_en,genus,family,drought_tolerance,drought_index,wood_anatomy,deciduousness,diameter_1_init,diameter_2_init,diameter_3_init,height_1_init,height_2_init,height_3_init,,,diameter_1GS,height_1_corr,diameter_2GS,notes,height_1GS,height1G2,notes_height,SAM_status,doy_stage_1,doy_stage_2,doy_stage_3,doy_stage_4,shoot_height_date,shoot_height_date,photo_max_date,photo_max_date,biomass_root,biomass_old_shoot,biomass_new_shoot,biomass_adventitious_shoots,number_adventitious_shoots,status,,,,,,,
2,drought,Pico_Dro1_B3_R13,Pico,Dro1,3,13,drought_1,doy leaf-out,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.7,,,23,,,,,11.2,,,,38.5,,,,132,135,,,,,,,21.5,13.2,4.9,0.0,0.0,,,,,,,,
1,drought,Pico_Dro1_B3_R14,Pico,Dro1,3,14,drought_1,doy leaf-out,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.8,,,29,,,,,13,,,,39,,,,,132,,,,,,,18.2,11.4,3.8,0.0,0.0,,,,,,,,
2,drought,Pico_Dro1_B3_R15,Pico,Dro1,3,15,drought_1,doy leaf-out,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.2,,,30,,,,,10.6,,,,40,,,,132,,,,,,,,11.6,11.6,2.6,0.0,0.0,,,,,,,,
1,drought,Pico_Dro2_B1_R1,Pico,Dro2,1,1,drought_2,doy 15_may,mag_den,Mai,Jun,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.3,,,24.5,,,,,10.5,,,,51.5,,,,,132,,,,,,,21.6,10.3,6.4,0.0,0.0,,,,,,,,
2,drought,Pico_Dro2_B1_R2,Pico,Dro2,1,2,drought_2,doy 15_may,mag_den,Mai,Jun,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.2,,,25,,,,,12.1,,,,53.5,,,,132,135,,,,,,,22.1,14.4,7.0,0.0,0.0,,,,,,,,
1,drought,Pico_Dro2_B1_R3,Pico,Dro2,1,3,drought_2,doy 15_may,mag_den,Mai,Jun,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.9,,,24,,,,,11.9,,,,32,,,,,132,,,,,,,21.0,12.7,4.4,0.0,0.0,,,,,,,,
2,drought,Pico_Dro2_B1_R4,Pico,Dro2,1,4,drought_2,doy 15_may,mag_den,Mai,Jun,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.6,,,25,,,,,12,,,,48,,,,,,132,,,,,,24.6,12.1,9.4,0.0,0.0,,,,,,,,
1,drought,Pico_Dro2_B1_R5,Pico,Dro2,1,5,drought_2,doy 15_may,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,6.9,,,27.5,,,,,8.8,,,,48,,,,,132,,,,,,,11.6,8.3,2.9,0.0,0.0,,,,,,,,
2,drought,Pico_Dro2_B2_R6,Pico,Dro2,2,6,drought_2,doy 15_may,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.7,,,27,,,,,10.1,,,,42,,"SAM dead, measured from side",,132,135,,,,,,,12.0,8.7,3.3,0.0,0.0,,,,,,,,
1,drought,Pico_Dro2_B2_R7,Pico,Dro2,2,7,drought_2,doy 15_may,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,9.7,,,35,,,,,12,,,,55,,,,132,135,,,,,,,20.7,13.2,6.7,0.0,0.0,,,,,,,,
2,drought,Pico_Dro2_B2_R8,Pico,Dro2,2,8,drought_2,doy 15_may,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.7,,,32,,,,,9.8,,,,49,,,,132,135,,,,,,,10.6,11.3,3.2,0.0,0.0,,,,,,,,
1,drought,Pico_Dro2_B2_R9,Pico,Dro2,2,9,drought_2,doy 15_may,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.6,,,34,,,,,10.3,,,,59,,,,132,135,,,,,,,10.1,12.2,3.9,0.0,0.0,,,,,,,,
2,drought,Pico_Dro2_B2_R10,Pico,Dro2,2,10,drought_2,doy 15_may,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,6.8,,,25,,,,,8.7,,,,40,,,,132,135,,,,,,,10.2,7.0,2.4,0.0,0.0,,,,,,,,
1,drought,Pico_Dro2_B3_R11,Pico,Dro2,3,11,drought_2,doy 15_may,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.3,,,26.5,,,,,12,,,,46,,,,,132,,,,,,,23.1,15.4,7.0,0.0,0.0,,,,,,,,
2,drought,Pico_Dro2_B3_R12,Pico,Dro2,3,12,drought_2,doy 15_may,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.6,,,20,,,,,8.2,,dead,,NA,,dead,,132,135,,,,,,,4.9,3.8,1.2,0.0,0.0,dead,,,,,,,
1,drought,Pico_Dro2_B3_R13,Pico,Dro2,3,13,drought_2,doy 15_may,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,9.4,,,39,,,,,12.4,,,,46,,,,,132,,,,,,,14.9,15.5,6.2,0.0,0.0,,,,,,,,
2,drought,Pico_Dro2_B3_R14,Pico,Dro2,3,14,drought_2,doy 15_may,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,9.2,,,30,,,,,11.7,,,,40.5,,,,132,,,,,,,,12.9,11.1,2.8,0.0,0.0,,,,,,,,
1,drought,Pico_Dro2_B3_R15,Pico,Dro2,3,15,drought_2,doy 15_may,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.6,,,25.5,,,,,10.8,,,,44,,"SAM, measured from hhighest side",,132,135,,,,,,,13.9,15.8,5.5,0.0,0.0,,,,,,,,
2,drought,Pico_Dro3_B1_R1,Pico,Dro3,1,1,drought_3,doy solstice,mag_den,Jun,Jul,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.3,,,30.5,,,,,10.7,,,,41.5,,,,,132,,,,,,,19.9,10.2,5.8,0.0,0.0,,,,,,,,
1,drought,Pico_Dro3_B1_R2,Pico,Dro3,1,2,drought_3,doy solstice,mag_den,Jun,Jul,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.2,,,24.5,,,,,12.6,,,,47,,,,132,135,,,,,,,22.2,14.1,6.8,0.0,0.0,,,,,,,,
2,drought,Pico_Dro3_B1_R3,Pico,Dro3,1,3,drought_3,doy solstice,mag_den,Jun,Jul,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,5.4,,,18.5,,,,,7.3,,,,37,,,,132,135,,,,,,,8.3,3.6,1.6,0.0,0.0,,,,,,,,
1,drought,Pico_Dro3_B1_R4,Pico,Dro3,1,4,drought_3,doy solstice,mag_den,Jun,Jul,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.9,,,25,,,,,11.8,,,dead,NA,,dead,,,132,,,,,,,13.6,12.9,4.5,0.0,0.0,dead,,,,,,,
2,drought,Pico_Dro3_B1_R5,Pico,Dro3,1,5,drought_3,doy solstice,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,6.9,,,32.5,,,,,9.2,,,,46,,,,,132,,,,,,,14.9,9.1,3.2,0.0,0.0,,,,,,,,
1,drought,Pico_Dro3_B2_R6,Pico,Dro3,2,6,drought_3,doy solstice,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,6.1,,,27,,,,,10.4,,,,40,,"SAM dead, measured from tallest side",,132,,,,,,,,10.0,8.6,1.6,0.0,0.0,,,,,,,,
2,drought,Pico_Dro3_B2_R7,Pico,Dro3,2,7,drought_3,doy solstice,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.8,,,25,,,,,8.1,,,,32,,,,135,,,,,,,,4.8,4.0,1.3,0.0,0.0,,,,,,,,
1,drought,Pico_Dro3_B2_R8,Pico,Dro3,2,8,drought_3,doy solstice,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,5.4,,,20.5,,,,,7.6,,,,31,,,,132,135,,,,,,,6.6,4.9,1.1,0.0,0.0,,,,,,,,
2,drought,Pico_Dro3_B2_R9,Pico,Dro3,2,9,drought_3,doy solstice,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.4,,,23.5,,,,,10.9,,,,41,,,,132,,,,,,,,13.3,10.7,4.8,0.0,0.0,,,,,,,,
1,drought,Pico_Dro3_B2_R10,Pico,Dro3,2,10,drought_3,doy solstice,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7,,,22,,,,,8.5,,,,43,,,,132,,,,,,,,17.8,16.0,7.1,0.0,0.0,,,,,,,,
2,drought,Pico_Dro3_B3_R11,Pico,Dro3,3,11,drought_3,doy solstice,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8,,,23.5,,,,,8.9,,dead,,NA,NA,dead,,132,135,,,,,,,12.8,7.1,4.3,0.0,0.0,dead,,,,,,,
1,drought,Pico_Dro3_B3_R12,Pico,Dro3,3,12,drought_3,doy solstice,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,9,,,29.5,,,,,12.6,,,,54,,,,,132,,,,,,,9.7,6.8,2.8,0.0,0.0,,,,,,,,
2,drought,Pico_Dro3_B3_R13,Pico,Dro3,3,13,drought_3,doy solstice,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.3,,,28,,,,,10.9,,,,55.5,,,,132,135,,,,,,,11.8,13.6,5.1,0.0,0.0,,,,,,,,
