"","species","trmt","a","ase","b","bse","c","cse","per10mean","per10se","per50mean","per50se","per90mean","per90se","type"
"11","Acma","Dro1",93.3592854808916,1.1558381283846,274.804434232898,1.32608705270265,-3.95650299800735,0.481475386055984,283.497759860424,1.69247805996032,274.804434232898,1.32608705270265,266.111108605372,1.70025792104654,"Percentage"
"12","Acma","Dro2",8.2740024975407,0.861859210803622,281.633649310628,2.33419490282106,-10.9140089529232,1.55548128596554,305.614178019259,5.08891782853297,281.633649310628,2.33419490282106,257.653120601998,2.89167145970518,"CCI"
"13","Acma","Dro2",89.4155118778602,1.72409040310038,275.731373350642,0.877294374513384,-2.91397815800266,0.221779246922976,282.134037777226,0.752201858173563,275.731373350642,0.877294374513384,269.328708924057,1.20349635154391,"Percentage"
"14","Acma","Dro3",6.11776761715182,1.10091545846693,274.780889125554,4.03694754140085,-7.9811687681184,4.87109292061237,292.317309298732,13.8298554893216,274.780889125554,4.03694754140085,257.244468952376,8.39240646516262,"A"
"15","Acma","Dro3",7.70046356113147,0.674996219723168,274.992036106077,10.2060905452272,-5.23448870614448,3.64768537624098,286.493383341006,17.7729268469586,274.992036106077,10.2060905452272,263.490688871147,4.57440308110587,"CCI"
"16","Acma","Dro3",88.522997916859,2.25462258291165,276.926487010195,1.04579504241914,-3.77773400063074,0.294405993335284,285.22701700302,1.19995936809135,276.926487010195,1.04579504241914,268.62595701737,1.25871736034393,"Percentage"
"17","Acma","GS_ext",7.35387560617488,0.521647107220463,268.429994387737,1.17129573766571,-4.75898647791445,0.979887092423854,278.886556440222,2.03423832381948,268.429994387737,1.17129573766571,257.973432335253,2.8065700524891,"A"
"18","Acma","GS_ext",9.54017675817934,1.05790852174259,279.150861492093,4.33721702787837,-14.332546391612,4.29266112468145,310.642684679555,11.1382765539433,279.150861492093,4.33721702787837,247.659038304632,9.56476359604774,"CCI"
"19","Acma","GS_ext",91.3564549530818,2.07553874341022,272.074688748768,1.60281463753636,-3.87048454159038,0.353831082075761,280.579012509751,1.43202682597871,272.074688748768,1.60281463753636,263.570364987786,2.07272148341172,"Percentage"
"20","Acma","GS_ext_heat",13.4140657083726,1.34173954316671,277.458251521796,2.29195347891919,-12.781302330348,3.00491796414143,305.541643132401,7.15986044484803,277.458251521796,2.29195347891919,249.374859911191,6.81380758046942,"CCI"
"21","Acma","GS_ext_heat",94.8513714293322,0.812263022787365,276.819226689936,1.67104819261241,-3.68121680503724,0.239276755731065,284.907686728467,1.71777447900522,276.819226689936,1.67104819261241,268.730766651405,1.78518068735572,"Percentage"
