"","species","treatment","id","a","b","c","type","per10","per50","per90"
"82","Quma","GS_ext","Quma_GS_ext_B1_R1",12.3925536232029,294.205849351032,-10.6382505445906,"A",317.580474907467,294.205849351032,270.831223794597
"83","Quma","GS_ext","Quma_GS_ext_B1_R4",7.13613401959697,232.984458422386,19.2631956146368,"A",190.658891579871,232.984458422386,275.310025264901
"84","Quma","GS_ext","Quma_GS_ext_B3_R11",16.4110747903091,268.901451668154,-13.1307803901178,"A",297.752725060925,268.901451668154,240.050178275382
"85","Quma","GS_ext","Quma_GS_ext_B3_R12",8.45188372182363,266.973692750907,-8.22711892672531,"A",285.050520657376,266.973692750907,248.896864844438
"86","Quma","GS_ext","Quma_GS_ext_B3_R13",12.714833513748,268.316480502681,-10.950507349385,"A",292.377204385051,268.316480502681,244.255756620312
"87","Quma","GS_ext","Quma_GS_ext_B3_R14",13.0515142873626,262.049056644336,-9.99844809543148,"A",284.017892534838,262.049056644336,240.080220753833
"88","Quma","GS_ext","Quma_GS_ext_B3_R15",7.89320829614466,276.068644208554,-2.46813057274717,"A",281.491681363069,276.068644208554,270.645607054039
"89","Prvi","Con","Prvi_Con_B2_R6",21.3643869741818,263.838644380355,-4.20927018466559,"CCI",273.087356282751,263.838644380355,254.589932477959
"90","Prvi","Con","Prvi_Con_B2_R7",5.08140636689413,271.112942414477,-5.47829087605869,"CCI",283.14997776915,271.112942414477,259.075907059804
"91","Prvi","Con","Prvi_Con_B2_R8",9.93479255793844,263.927516714147,-8.13596811089171,"CCI",281.804065807822,263.927516714147,246.050967620472
"92","Prvi","Con","Prvi_Con_B2_R9",9.60576884348297,278.600677934569,-5.76099067428941,"CCI",291.258868233923,278.600677934569,265.942487635216
"93","Prvi","Con","Prvi_Con_B2_R10",8.81858226735382,272.104552199083,-3.09062248685571,"CCI",278.89534388647,272.104552199083,265.313760511695
"94","Prvi","Con","Prvi_Con_B3_R11",9.86970401534586,261.149451978672,-5.35201910445505,"CCI",272.909039893353,261.149451978672,249.38986406399
"95","Prvi","Con","Prvi_Con_B3_R12",9.17597755555909,277.03894337756,-4.20711859542945,"CCI",286.282927755206,277.03894337756,267.794958999914
"96","Prvi","Con","Prvi_Con_B3_R14",6.22976481395387,274.981948070655,-4.58074144995534,"CCI",285.04686576692,274.981948070655,264.91703037439
"97","Prvi","Con","Prvi_Con_B3_R15",7.83999036375084,269.414024228462,-7.15756816132052,"CCI",285.140808906474,269.414024228462,253.687239550449
"98","Prvi","Con","Prvi_Con_B1_R1",8.82349556188942,267.280092673221,-4.29277489415535,"CCI",276.712283175631,267.280092673221,257.847902170811
"99","Prvi","Con","Prvi_Con_B1_R2",10.448932783782,272.913054211887,-9.4968698457397,"CCI",293.77981004471,272.913054211887,252.046298379065
"100","Prvi","Con","Prvi_Con_B1_R3",8.34725903754313,277.790743684794,-2.5433523112629,"CCI",283.379059891926,277.790743684794,272.202427477663
"101","Prvi","Con","Prvi_Con_B1_R4",16.0729800856112,263.926462011238,-3.83452103534379,"CCI",272.351765872408,263.926462011238,255.501158150068
"102","Prvi","Con","Prvi_Con_B1_R5",8.41865829308855,281.146147455989,-7.90297326009415,"CCI",298.510754537099,281.146147455989,263.781540374879
"103","Prvi","Dro1","Prvi_Dro1_B2_R6",9.97548013013994,266.77073118102,-5.96588810243493,"CCI",279.879127145328,266.77073118102,253.662335216712
"104","Prvi","Dro1","Prvi_Dro1_B3_R14",12.603722359342,266.94962090883,-2.64319041034093,"CCI",272.757303841011,266.94962090883,261.14193797665
"105","Prvi","Dro1","Prvi_Dro1_B3_R15",15.791634046822,257.605557670496,-7.08620751703106,"CCI",273.175546987022,257.605557670496,242.035568353971
"106","Prvi","Dro1","Prvi_Dro1_B1_R1",12.5442931394874,272.143815616503,-7.13288296913341,"CCI",287.816361383546,272.143815616503,256.47126984946
"107","Prvi","Dro1","Prvi_Dro1_B1_R2",10.5896691456165,266.534118373108,-3.53036991482653,"CCI",274.291133917053,266.534118373108,258.777102829162
"108","Prvi","Dro1","Prvi_Dro1_B1_R4",7.64722168532781,272.119726950145,-7.86079098978545,"CCI",289.391650110204,272.119726950145,254.847803790085
"109","Prvi","Dro1","Prvi_Dro1_B1_R5",6.71271661157652,275.625445579216,-2.8240331433865,"CCI",281.830480609077,275.625445579216,269.420410549355
"110","Prvi","Dro2","Prvi_Dro2_B2_R7",8.70617357337922,276.274446383125,-2.71383302768729,"CCI",282.237347010347,276.274446383125,270.311545755904
"111","Prvi","Dro2","Prvi_Dro2_B2_R8",7.92346974239391,273.919122310469,-6.88844313555333,"CCI",289.05457886749,273.919122310469,258.783665753449
"112","Prvi","Dro2","Prvi_Dro2_B2_R9",18.0000088366761,269.736527601552,-0.582921707352479,"CCI",271.01733750361,269.736527601552,268.455717699495
"113","Prvi","Dro2","Prvi_Dro2_B3_R11",18.1563925723154,276.323146939519,-5.21757580108312,"CCI",287.787332723774,276.323146939519,264.858961155265
"114","Prvi","Dro2","Prvi_Dro2_B3_R12",12.6265124206249,272.015332923019,-3.64715718096409,"CCI",280.028956318442,272.015332923019,264.001709527596
"115","Prvi","Dro2","Prvi_Dro2_B3_R13",8.22760786300294,275.936226558405,-4.26597173361451,"CCI",285.309524497725,275.936226558405,266.562928619086
"116","Prvi","Dro2","Prvi_Dro2_B3_R14",19.731179769443,279.765882849554,-4.04604513838444,"CCI",288.655952668625,279.765882849554,270.875813030484
"117","Prvi","Dro2","Prvi_Dro2_B3_R15",9.55733630958305,265.18261239112,-4.03651449064884,"CCI",274.051741236748,265.18261239112,256.313483545493
"118","Prvi","Dro2","Prvi_Dro2_B1_R1",7.75524474733656,272.700557632915,-24.1417681923901,"CCI",325.745444045588,272.700557632915,219.655671220242
"119","Prvi","Dro2","Prvi_Dro2_B1_R2",5.72430233504249,274.500547098379,-6.55237863661109,"CCI",288.897594478754,274.500547098379,260.103499718005
"120","Prvi","Dro2","Prvi_Dro2_B1_R4",10.7107930081774,273.021410679048,-4.66289613924523,"CCI",283.266840677764,273.021410679048,262.775980680332
"121","Prvi","Dro2","Prvi_Dro2_B1_R5",5.43659798586212,273.944082551331,-3.91941040590627,"CCI",282.555907423855,273.944082551331,265.332257678806
"122","Prvi","Dro3","Prvi_Dro3_B2_R7",15.906802396633,246.498778872771,-23.1890912668062,"CCI",297.450420130291,246.498778872771,195.547137615252
"123","Prvi","Dro3","Prvi_Dro3_B2_R9",6.29719380909869,282.64905091977,-3.47057691265693,"CCI",290.274687809795,282.64905091977,275.023414029744
"124","Prvi","Dro3","Prvi_Dro3_B3_R12",5.00000081646621,278.809092143039,-0.583638186869328,"CCI",280.0914763115,278.809092143039,277.526707974578
"125","Prvi","Dro3","Prvi_Dro3_B3_R14",8.54613710341972,280.20258882664,-8.06863878624514,"CCI",297.931200273426,280.20258882664,262.473977379854
"126","Prvi","Dro3","Prvi_Dro3_B1_R1",7.05876387909075,265.041653934055,-6.93484387756263,"CCI",280.279063341825,265.041653934055,249.804244526285
"127","Prvi","Dro3","Prvi_Dro3_B1_R2",5.06546454906896,276.069876423668,-4.36830571606827,"CCI",285.668025104332,276.069876423668,266.471727743005
