#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
220,03-18-2023 22:55:10,2.153,,,,
221,03-18-2023 23:05:10,1.649,,,,
222,03-18-2023 23:15:10,1.456,,,,
223,03-18-2023 23:25:10,2.689,,,,
224,03-18-2023 23:35:10,2.571,,,,
225,03-18-2023 23:45:10,1.810,,,,
226,03-18-2023 23:55:10,1.552,,,,
227,03-19-2023 00:05:10,2.174,,,,
228,03-19-2023 00:15:10,2.947,,,,
229,03-19-2023 00:25:10,2.110,,,,
230,03-19-2023 00:35:10,1.660,,,,
231,03-19-2023 00:45:10,1.499,,,,
232,03-19-2023 00:55:10,2.721,,,,
233,03-19-2023 01:05:10,2.528,,,,
234,03-19-2023 01:15:10,1.799,,,,
235,03-19-2023 01:25:10,1.542,,,,
236,03-19-2023 01:35:10,2.228,,,,
237,03-19-2023 01:45:10,2.914,,,,
238,03-19-2023 01:55:10,2.110,,,,
239,03-19-2023 02:05:10,1.649,,,,
240,03-19-2023 02:15:10,1.488,,,,
241,03-19-2023 02:25:10,2.786,,,,
242,03-19-2023 02:35:10,2.593,,,,
243,03-19-2023 02:45:10,1.853,,,,
244,03-19-2023 02:55:10,1.585,,,,
245,03-19-2023 03:05:10,2.121,,,,
246,03-19-2023 03:15:10,2.947,,,,
247,03-19-2023 03:25:10,2.089,,,,
248,03-19-2023 03:35:10,1.692,,,,
249,03-19-2023 03:45:10,1.542,,,,
250,03-19-2023 03:55:10,2.850,,,,
251,03-19-2023 04:05:10,2.550,,,,
252,03-19-2023 04:15:10,1.799,,,,
253,03-19-2023 04:25:10,1.520,,,,
254,03-19-2023 04:35:10,2.314,,,,
255,03-19-2023 04:45:10,2.861,,,,
256,03-19-2023 04:55:10,2.035,,,,
257,03-19-2023 05:05:10,1.638,,,,
258,03-19-2023 05:15:10,1.713,,,,
259,03-19-2023 05:25:10,2.839,,,,
260,03-19-2023 05:35:10,2.464,,,,
261,03-19-2023 05:45:10,1.756,,,,
